title,year,type,critics_score,audience_score
Toy Story 3,2010,both,98,89
Alice in Wonderland,2010,top_ten_box_office_hit,51,55
Harry Potter and the Deathly Hallows - Part 1,2010,top_ten_box_office_hit,77,85
Inception,2010,both,87,91
Shrek Forever After,2010,top_ten_box_office_hit,58,54
The Twilight Saga: Eclipse,2010,top_ten_box_office_hit,48,60
Iron Man 2,2010,top_ten_box_office_hit,73,71
Tangled,2010,top_ten_box_office_hit,89,87
Despicable Me,2010,top_ten_box_office_hit,81,82
How to Train Your Dragon,2010,top_ten_box_office_hit,99,91
Harry Potter and the Deathly Hallows – Part 2,2011,top_ten_box_office_hit,96,89
Transformers: Dark of the Moon,2011,top_ten_box_office_hit,35,55
Pirates of the Caribbean: On Stranger Tides,2011,top_ten_box_office_hit,33,54
The Twilight Saga: Breaking Dawn – Part 1,2011,top_ten_box_office_hit,25,60
Mission: Impossible – Ghost Protocol,2011,top_ten_box_office_hit,93,76
Kung Fu Panda 2,2011,top_ten_box_office_hit,81,74
Fast Five,2011,top_ten_box_office_hit,77,83
The Hangover Part II,2011,top_ten_box_office_hit,33,52
The Smurfs,2011,top_ten_box_office_hit,22,44
Cars 2,2011,top_ten_box_office_hit,39,49
The Avengers,2012,top_ten_box_office_hit,92,91
Skyfall,2012,top_ten_box_office_hit,92,86
The Dark Knight Rises,2012,top_ten_box_office_hit,87,90
The Hobbit: An Unexpected Journey,2012,top_ten_box_office_hit,64,83
Ice Age: Continental Drift,2012,top_ten_box_office_hit,37,62
The Twilight Saga: Breaking Dawn – Part 2,2012,top_ten_box_office_hit,49,70
The Amazing Spider-Man,2012,top_ten_box_office_hit,72,77
Madagascar 3: Europe's Most Wanted,2012,top_ten_box_office_hit,79,72
The Hunger Games,2012,top_ten_box_office_hit,84,81
Men in Black 3,2012,top_ten_box_office_hit,68,70
Frozen,2013,top_ten_box_office_hit,56,57
Iron Man 3,2013,top_ten_box_office_hit,79,78
Despicable Me 2,2013,top_ten_box_office_hit,75,85
The Hobbit: The Desolation of Smaug,2013,top_ten_box_office_hit,74,85
The Hunger Games: Catching Fire,2013,top_ten_box_office_hit,89,89
Fast & Furious 6,2013,top_ten_box_office_hit,70,84
Monsters University,2013,top_ten_box_office_hit,80,81
Gravity,2013,both,96,80
Man of Steel,2013,top_ten_box_office_hit,56,75
Thor: The Dark World,2013,top_ten_box_office_hit,67,76
Transformers: Age of Extinction,2014,top_ten_box_office_hit,18,51
The Hobbit: The Battle of the Five Armies,2014,top_ten_box_office_hit,59,74
Guardians of the Galaxy,2014,top_ten_box_office_hit,91,92
Maleficent,2014,top_ten_box_office_hit,53,70
The Hunger Games: Mockingjay – Part 1,2014,top_ten_box_office_hit,69,71
X-Men: Days of Future Past,2014,top_ten_box_office_hit,90,91
Captain America: The Winter Soldier,2014,top_ten_box_office_hit,90,92
Dawn of the Planet of the Apes,2014,top_ten_box_office_hit,91,88
The Amazing Spider-Man 2,2014,top_ten_box_office_hit,52,64
Interstellar,2014,top_ten_box_office_hit,72,85
Star Wars: The Force Awakens,2015,top_ten_box_office_hit,93,86
Jurassic World,2015,top_ten_box_office_hit,72,78
Furious 7,2015,top_ten_box_office_hit,81,82
Avengers: Age of Ultron,2015,top_ten_box_office_hit,75,83
Minions,2015,top_ten_box_office_hit,55,49
Spectre,2015,top_ten_box_office_hit,63,61
Inside Out,2015,top_ten_box_office_hit,98,89
Mission: Impossible – Rogue Nation,2015,top_ten_box_office_hit,93,87
The Hunger Games: Mockingjay – Part 2,2015,top_ten_box_office_hit,70,66
The Martian,2015,both,91,91
Captain America: Civil War,2016,top_ten_box_office_hit,91,89
Rogue One: A Star Wars Story,2016,top_ten_box_office_hit,84,86
Finding Dory,2016,top_ten_box_office_hit,94,84
Zootopia,2016,top_ten_box_office_hit,97,92
The Jungle Book,2016,top_ten_box_office_hit,95,86
The Secret Life of Pets,2016,top_ten_box_office_hit,73,62
Batman v Superman: Dawn of Justice,2016,top_ten_box_office_hit,28,63
Fantastic Beasts and Where to Find Them,2016,top_ten_box_office_hit,74,79
Deadpool,2016,top_ten_box_office_hit,84,90
